GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA105,AV0AA105M,AV0AA115,AV0AA115M,AV0AA125,AV0AA125M,AV0AA135,AV0AA135M,AV0AA145,AV0AA145M,AV0AA155,AV0AA155M,AV0AA165,AV0AA165M,AV0AA175,AV0AA175M,AV0AA185,AV0AA185M,AV0AA195,AV0AA195M,AV0AA2020,AV0AA205,AV0AA205M,AV0AA215,AV0AA215M,AV0AA225,AV0AA225M
"G0100010","Alabama","01","010","Autauga County","001","0010",34222,43671,54571,53155,0,53944,0,54590,0,54907,0,55136,0,55221,0,55049,0,55036,0,55200,0,55380,0,58805,55639,,58239,,58761,
"G0100030","Alabama","01","010","Baldwin County","003","0030",98280,140415,182265,175791,0,179523,0,183226,0,187114,0,191205,0,195121,0,199510,0,203360,0,208107,0,212830,0,231767,218289,,227131,,233420,
"G0100050","Alabama","01","010","Barbour County","005","0050",25417,29038,27457,27699,0,27546,0,27469,0,27321,0,27119,0,26932,0,26614,0,26201,0,25782,0,25361,0,25223,25026,,25259,,24877,
"G0100070","Alabama","01","010","Bibb County","007","0070",16576,20826,22915,22610,0,22746,0,22769,0,22754,0,22653,0,22604,0,22572,0,22580,0,22527,0,22493,0,22293,22374,,22412,,22251,
"G0100090","Alabama","01","010","Blount County","009","0090",39248,51024,57322,56692,0,57140,0,57466,0,57623,0,57645,0,57710,0,57704,0,57667,0,57645,0,57681,0,59134,57755,,58884,,59077,
"G0100110","Alabama","01","010","Bullock County","011","0110",11042,11714,10914,10923,0,10877,0,10779,0,10746,0,10693,0,10678,0,10552,0,10478,0,10352,0,10248,0,10357,10173,,10386,,10328,
"G0100130","Alabama","01","010","Butler County","013","0130",21892,21399,20947,20895,0,20860,0,20730,0,20624,0,20523,0,20354,0,20280,0,20126,0,20025,0,19828,0,19051,19726,,19181,,18981,
"G0100150","Alabama","01","010","Calhoun County","015","0150",116034,112249,118572,117149,0,117614,0,117834,0,117714,0,117186,0,116648,0,115883,0,115527,0,115098,0,114618,0,116441,114324,,116425,,116162,
"G0100170","Alabama","01","010","Chambers County","017","0170",36876,36583,34215,34579,0,34375,0,34228,0,34145,0,34091,0,34079,0,34018,0,33895,0,33826,0,33660,0,34772,33427,,34834,,34612,
"G0100190","Alabama","01","010","Cherokee County","019","0190",19543,23988,25989,25700,0,25819,0,25917,0,26034,0,26042,0,26008,0,25897,0,25855,0,25853,0,25903,0,24971,26035,,24975,,25069,
"G0100210","Alabama","01","010","Chilton County","021","0210",32458,39593,43643,43121,0,43444,0,43611,0,43744,0,43781,0,43819,0,43817,0,43805,0,43930,0,44055,0,45014,44147,,44857,,45140,
"G0100230","Alabama","01","010","Choctaw County","023","0230",16018,15922,13859,14111,0,13953,0,13838,0,13687,0,13546,0,13395,0,13287,0,13188,0,13075,0,12925,0,12665,12755,,12792,,12669,
"G0100250","Alabama","01","010","Clarke County","025","0250",27240,27867,25833,26255,0,26046,0,25768,0,25573,0,25331,0,25070,0,24847,0,24625,0,24387,0,24128,0,23087,23866,,23346,,23058,
"G0100270","Alabama","01","010","Clay County","027","0270",13252,14254,13932,14040,0,14010,0,13828,0,13703,0,13617,0,13537,0,13483,0,13407,0,13378,0,13337,0,14236,13285,,14184,,14209,
"G0100290","Alabama","01","010","Cleburne County","029","0290",12730,14123,14972,14823,0,14881,0,14905,0,14945,0,14990,0,15002,0,14991,0,14939,0,14938,0,14916,0,15056,14952,,15046,,15144,
"G0100310","Alabama","01","010","Coffee County","031","0310",40240,43615,49948,48349,0,49221,0,49966,0,50468,0,50726,0,50884,0,50991,0,51073,0,51288,0,51662,0,53465,52238,,53043,,53559,
"G0100330","Alabama","01","010","Colbert County","033","0330",51666,54984,54428,54446,0,54478,0,54451,0,54456,0,54491,0,54444,0,54377,0,54435,0,54495,0,54771,0,57227,54957,,56789,,57270,
"G0100350","Alabama","01","010","Conecuh County","035","0350",14054,14089,13228,13382,0,13286,0,13188,0,13104,0,12985,0,12865,0,12697,0,12649,0,12514,0,12394,0,11597,12219,,11778,,11576,
