sourceTypeID,roadTypeID,hourDayID,avgSpeedBinID,avgSpeedFraction
11,1,12,1,0
11,1,12,2,0
11,1,12,3,0
11,1,12,4,0
11,1,12,5,0
11,1,12,6,0
11,1,12,7,0
11,1,12,8,0
11,1,12,9,0
11,1,12,10,0
11,1,12,11,0
11,1,12,12,0
11,1,12,13,0
11,1,12,14,0
11,1,12,15,0
11,1,12,16,0
11,1,15,1,0
11,1,15,2,0
11,1,15,3,0
11,1,15,4,0
11,1,15,5,0
11,1,15,6,0
11,1,15,7,0
11,1,15,8,0
11,1,15,9,0
11,1,15,10,0
11,1,15,11,0
11,1,15,12,0
11,1,15,13,0
11,1,15,14,0
11,1,15,15,0
11,1,15,16,0
11,1,22,1,0
11,1,22,2,0
11,1,22,3,0
11,1,22,4,0
11,1,22,5,0
11,1,22,6,0
11,1,22,7,0
11,1,22,8,0
11,1,22,9,0
11,1,22,10,0
11,1,22,11,0
11,1,22,12,0
11,1,22,13,0
11,1,22,14,0
11,1,22,15,0
11,1,22,16,0
11,1,25,1,0
11,1,25,2,0
11,1,25,3,0
11,1,25,4,0
11,1,25,5,0
11,1,25,6,0
11,1,25,7,0
11,1,25,8,0
11,1,25,9,0
11,1,25,10,0
11,1,25,11,0
11,1,25,12,0
11,1,25,13,0
11,1,25,14,0
11,1,25,15,0
11,1,25,16,0
11,1,32,1,0
11,1,32,2,0
11,1,32,3,0
11,1,32,4,0
11,1,32,5,0
11,1,32,6,0
11,1,32,7,0
11,1,32,8,0
11,1,32,9,0
11,1,32,10,0
11,1,32,11,0
11,1,32,12,0
11,1,32,13,0
11,1,32,14,0
11,1,32,15,0
11,1,32,16,0
11,1,35,1,0
11,1,35,2,0
11,1,35,3,0
11,1,35,4,0
11,1,35,5,0
11,1,35,6,0
11,1,35,7,0
11,1,35,8,0
11,1,35,9,0
11,1,35,10,0
11,1,35,11,0
11,1,35,12,0
11,1,35,13,0
11,1,35,14,0
11,1,35,15,0
11,1,35,16,0
11,1,42,1,0
11,1,42,2,0
11,1,42,3,0
11,1,42,4,0
11,1,42,5,0
11,1,42,6,0
11,1,42,7,0
11,1,42,8,0
11,1,42,9,0
11,1,42,10,0
11,1,42,11,0
11,1,42,12,0
11,1,42,13,0
11,1,42,14,0
11,1,42,15,0
11,1,42,16,0
11,1,45,1,0
11,1,45,2,0
11,1,45,3,0
11,1,45,4,0
11,1,45,5,0
11,1,45,6,0
11,1,45,7,0
11,1,45,8,0
11,1,45,9,0
11,1,45,10,0
11,1,45,11,0
11,1,45,12,0
11,1,45,13,0
11,1,45,14,0
11,1,45,15,0
11,1,45,16,0
11,1,52,1,0
11,1,52,2,0
11,1,52,3,0
11,1,52,4,0
11,1,52,5,0
11,1,52,6,0
11,1,52,7,0
11,1,52,8,0
11,1,52,9,0
11,1,52,10,0
11,1,52,11,0
11,1,52,12,0
11,1,52,13,0
11,1,52,14,0
11,1,52,15,0
11,1,52,16,0
11,1,55,1,0
11,1,55,2,0
11,1,55,3,0
11,1,55,4,0
11,1,55,5,0
11,1,55,6,0
11,1,55,7,0
11,1,55,8,0
11,1,55,9,0
11,1,55,10,0
11,1,55,11,0
11,1,55,12,0
11,1,55,13,0
11,1,55,14,0
11,1,55,15,0
11,1,55,16,0
11,1,62,1,0
11,1,62,2,0
11,1,62,3,0
11,1,62,4,0
11,1,62,5,0
11,1,62,6,0
11,1,62,7,0
11,1,62,8,0
11,1,62,9,0
11,1,62,10,0
11,1,62,11,0
11,1,62,12,0
11,1,62,13,0
11,1,62,14,0
11,1,62,15,0
11,1,62,16,0
11,1,65,1,0
11,1,65,2,0
11,1,65,3,0
11,1,65,4,0
11,1,65,5,0
11,1,65,6,0
11,1,65,7,0
11,1,65,8,0
11,1,65,9,0
11,1,65,10,0
11,1,65,11,0
11,1,65,12,0
11,1,65,13,0
11,1,65,14,0
11,1,65,15,0
11,1,65,16,0
11,1,72,1,0
11,1,72,2,0
11,1,72,3,0
11,1,72,4,0
11,1,72,5,0
11,1,72,6,0
11,1,72,7,0
11,1,72,8,0
11,1,72,9,0
11,1,72,10,0
11,1,72,11,0
11,1,72,12,0
11,1,72,13,0
11,1,72,14,0
11,1,72,15,0
11,1,72,16,0
11,1,75,1,0
11,1,75,2,0
11,1,75,3,0
11,1,75,4,0
11,1,75,5,0
11,1,75,6,0
11,1,75,7,0
11,1,75,8,0
11,1,75,9,0
11,1,75,10,0
11,1,75,11,0
11,1,75,12,0
11,1,75,13,0
11,1,75,14,0
11,1,75,15,0
11,1,75,16,0
11,1,82,1,0
11,1,82,2,0
11,1,82,3,0
11,1,82,4,0
11,1,82,5,0
11,1,82,6,0
11,1,82,7,0
11,1,82,8,0
11,1,82,9,0
11,1,82,10,0
11,1,82,11,0
11,1,82,12,0
11,1,82,13,0
11,1,82,14,0
11,1,82,15,0
11,1,82,16,0
11,1,85,1,0
11,1,85,2,0
11,1,85,3,0
11,1,85,4,0
11,1,85,5,0
11,1,85,6,0
11,1,85,7,0
11,1,85,8,0
11,1,85,9,0
11,1,85,10,0
11,1,85,11,0
11,1,85,12,0
11,1,85,13,0
11,1,85,14,0
11,1,85,15,0
11,1,85,16,0
11,1,92,1,0
11,1,92,2,0
11,1,92,3,0
11,1,92,4,0
11,1,92,5,0
11,1,92,6,0
11,1,92,7,0
11,1,92,8,0
11,1,92,9,0
11,1,92,10,0
11,1,92,11,0
11,1,92,12,0
11,1,92,13,0
11,1,92,14,0
11,1,92,15,0
11,1,92,16,0
11,1,95,1,0
11,1,95,2,0
11,1,95,3,0
11,1,95,4,0
11,1,95,5,0
11,1,95,6,0
11,1,95,7,0
11,1,95,8,0
11,1,95,9,0
11,1,95,10,0
11,1,95,11,0
11,1,95,12,0
11,1,95,13,0
11,1,95,14,0
11,1,95,15,0
11,1,95,16,0
11,1,102,1,0
11,1,102,2,0
11,1,102,3,0
11,1,102,4,0
11,1,102,5,0
11,1,102,6,0
11,1,102,7,0
11,1,102,8,0
11,1,102,9,0
11,1,102,10,0
11,1,102,11,0
11,1,102,12,0
11,1,102,13,0
11,1,102,14,0
11,1,102,15,0
11,1,102,16,0
11,1,105,1,0
11,1,105,2,0
11,1,105,3,0
11,1,105,4,0
11,1,105,5,0
11,1,105,6,0
11,1,105,7,0
11,1,105,8,0
11,1,105,9,0
11,1,105,10,0
11,1,105,11,0
11,1,105,12,0
11,1,105,13,0
11,1,105,14,0
11,1,105,15,0
11,1,105,16,0
11,1,112,1,0
11,1,112,2,0
11,1,112,3,0
11,1,112,4,0
11,1,112,5,0
11,1,112,6,0
11,1,112,7,0
11,1,112,8,0
11,1,112,9,0
11,1,112,10,0
11,1,112,11,0
11,1,112,12,0
11,1,112,13,0
11,1,112,14,0
11,1,112,15,0
11,1,112,16,0
11,1,115,1,0
11,1,115,2,0
11,1,115,3,0
11,1,115,4,0
11,1,115,5,0
11,1,115,6,0
11,1,115,7,0
11,1,115,8,0
11,1,115,9,0
11,1,115,10,0
11,1,115,11,0
11,1,115,12,0
11,1,115,13,0
11,1,115,14,0
11,1,115,15,0
