polProcessID,stateID,countyID,yearID,sourceTypeID,fuelTypeID,IMProgramID,begModelYearID,endModelYearID,inspectFreq,testStandardsID,useIMyn,complianceFactor
101,36,36109,2020,21,1,10,1996,2017,1,51,Y,95.05999755859375
101,36,36109,2020,21,1,6,1981,1995,1,33,Y,95.05999755859375
101,36,36109,2020,21,1,1,1968,1980,1,11,Y,95.05999755859375
101,36,36109,2020,21,5,210,1996,2017,1,51,Y,95.05999755859375
101,36,36109,2020,21,5,206,1981,1995,1,33,Y,95.05999755859375
101,36,36109,2020,21,5,201,1968,1980,1,11,Y,95.05999755859375
102,36,36109,2020,21,1,10,1996,2017,1,51,Y,95.05999755859375
102,36,36109,2020,21,1,6,1981,1995,1,33,Y,95.05999755859375
102,36,36109,2020,21,1,1,1968,1980,1,11,Y,95.05999755859375
102,36,36109,2020,21,5,210,1996,2017,1,51,Y,95.05999755859375
102,36,36109,2020,21,5,206,1981,1995,1,33,Y,95.05999755859375
102,36,36109,2020,21,5,201,1968,1980,1,11,Y,95.05999755859375
112,36,36109,2020,21,1,8,1996,2018,1,43,Y,93.12000274658203
112,36,36109,2020,21,1,7,1974,1995,1,41,Y,93.12000274658203
112,36,36109,2020,21,5,208,1996,2018,1,43,Y,93.12000274658203
112,36,36109,2020,21,5,207,1974,1995,1,41,Y,93.12000274658203
201,36,36109,2020,21,1,10,1996,2017,1,51,Y,95.05999755859375
201,36,36109,2020,21,1,6,1981,1995,1,33,Y,95.05999755859375
201,36,36109,2020,21,1,1,1968,1980,1,11,Y,95.05999755859375
201,36,36109,2020,21,5,210,1996,2017,1,51,Y,95.05999755859375
201,36,36109,2020,21,5,206,1981,1995,1,33,Y,95.05999755859375
201,36,36109,2020,21,5,201,1968,1980,1,11,Y,95.05999755859375
202,36,36109,2020,21,1,10,1996,2017,1,51,Y,95.05999755859375
202,36,36109,2020,21,1,6,1981,1995,1,33,Y,95.05999755859375
202,36,36109,2020,21,1,1,1968,1980,1,11,Y,95.05999755859375
202,36,36109,2020,21,5,210,1996,2017,1,51,Y,95.05999755859375
202,36,36109,2020,21,5,206,1981,1995,1,33,Y,95.05999755859375
202,36,36109,2020,21,5,201,1968,1980,1,11,Y,95.05999755859375
301,36,36109,2020,21,1,10,1996,2017,1,51,Y,95.05999755859375
301,36,36109,2020,21,1,6,1981,1995,1,33,Y,95.05999755859375
301,36,36109,2020,21,5,210,1996,2017,1,51,Y,95.05999755859375
301,36,36109,2020,21,5,206,1981,1995,1,33,Y,95.05999755859375
302,36,36109,2020,21,1,10,1996,2017,1,51,Y,95.05999755859375
302,36,36109,2020,21,1,6,1981,1995,1,33,Y,95.05999755859375
302,36,36109,2020,21,5,210,1996,2017,1,51,Y,95.05999755859375
302,36,36109,2020,21,5,206,1981,1995,1,33,Y,95.05999755859375
