year,geoid,pollutant,sourcetype,regclass,fueltype,roadtype,emissions,vmt,sourcehours,vehicles,starts,by
2025,42091,1,11,10,1,2,0,0,0,37.40530014038086,2597.360107421875,1
2025,42091,1,11,10,1,3,0.4908755123615265,519534,10761.2001953125,37.40530014038086,2597.360107421875,1
2025,42091,1,11,10,1,4,12.209607124328613,13149300,239913,37.40530014038086,2597.360107421875,1
2025,42091,1,11,10,1,5,28.803722381591797,24435600,944679,37.40530014038086,2597.360107421875,1
2025,42091,1,21,20,1,2,0,0,0,503.6809997558594,600244,1
2025,42091,1,21,20,1,3,1.1521168947219849,24016700,500749,503.6809997558594,600244,1
2025,42091,1,21,20,1,4,47.83755111694336,1038929984,19153300,503.6809997558594,600244,1
2025,42091,1,21,20,1,5,93.99275207519531,1483609984,57644500,503.6809997558594,600244,1
2025,42091,1,21,20,2,2,0,0,0,2.3821499347686768,2629.1298828125,1
2025,42091,1,21,20,2,3,0.005635663866996765,105955,2209.169921875,2.3821499347686768,2629.1298828125,1
2025,42091,1,21,20,2,4,0.23206506669521332,4583490,84499.203125,2.3821499347686768,2629.1298828125,1
2025,42091,1,21,20,2,5,0.4653528034687042,6545300,254312,2.3821499347686768,2629.1298828125,1
2025,42091,1,21,20,5,2,0,0,0,0.28844699263572693,350.4460144042969,1
2025,42091,1,21,20,5,3,5.178051651455462e-4,14017.2001953125,292.2590026855469,0.28844699263572693,350.4460144042969,1
2025,42091,1,21,20,5,4,0.02181529998779297,606366,11178.7001953125,0.28844699263572693,350.4460144042969,1
2025,42091,1,21,20,5,5,0.04052019119262695,865900,33643.80078125,0.28844699263572693,350.4460144042969,1
2025,42091,1,21,20,9,2,0,0,0,19.281200408935547,29905.19921875,1
2025,42091,1,21,20,9,3,0,1183560,24677.400390625,19.281200408935547,29905.19921875,1
2025,42091,1,21,20,9,4,0,51199500,943895,19.281200408935547,29905.19921875,1
2025,42091,1,21,20,9,5,0,73113800,2840780,19.281200408935547,29905.19921875,1
2025,42091,1,31,30,1,2,0,0,0,432.0539855957031,612798,1
2025,42091,1,31,30,1,3,1.8789070844650269,32671600,670030,432.0539855957031,612798,1
2025,42091,1,31,30,1,4,52.47993469238281,936220032,16998200,432.0539855957031,612798,1
2025,42091,1,31,30,1,5,104.46481323242188,1426690048,54684700,432.0539855957031,612798,1
2025,42091,1,31,30,2,2,0,0,0,1.5184799432754517,2063.7900390625,1
2025,42091,1,31,30,2,3,0.012266809120774269,108559,2226.340087890625,1.5184799432754517,2063.7900390625,1
2025,42091,1,31,30,2,4,0.33085596561431885,3110820,56480.5,1.5184799432754517,2063.7900390625,1
2025,42091,1,31,30,2,5,0.7462405562400818,4740540,181703,1.5184799432754517,2063.7900390625,1
2025,42091,1,31,30,5,2,0,0,0,0.7637709975242615,1038.780029296875,1
2025,42091,1,31,30,5,3,0.002737953793257475,55989.3984375,1148.22998046875,0.7637709975242615,1038.780029296875,1
2025,42091,1,31,30,5,4,0.07791664451360703,1604400,29129.80078125,0.7637709975242615,1038.780029296875,1
2025,42091,1,31,30,5,5,0.1452614665031433,2444930,93713.3984375,0.7637709975242615,1038.780029296875,1
2025,42091,1,31,30,9,2,0,0,0,9.010890007019043,16676.69921875,1
2025,42091,1,31,30,9,3,0,880963,18066.80078125,9.010890007019043,16676.69921875,1
2025,42091,1,31,30,9,4,0,25244400,458342,9.010890007019043,16676.69921875,1
2025,42091,1,31,30,9,5,0,38469600,1474530,9.010890007019043,16676.69921875,1
2025,42091,1,31,41,1,2,0,0,0,8.364819526672363,9780.5302734375,1
2025,42091,1,31,41,1,3,0.14218458533287048,530976,10889.2998046875,8.364819526672363,9780.5302734375,1
2025,42091,1,31,41,1,4,3.5481083393096924,15215400,276253,8.364819526672363,9780.5302734375,1
2025,42091,1,31,41,1,5,11.144576072692871,23186500,888732,8.364819526672363,9780.5302734375,1
2025,42091,1,31,41,2,2,0,0,0,10.888500213623047,14822.599609375,1
2025,42091,1,31,41,2,3,0.12456760555505753,796012,16324.599609375,10.888500213623047,14822.599609375,1
2025,42091,1,31,41,2,4,3.287552833557129,22810100,414144,10.888500213623047,14822.599609375,1
2025,42091,1,31,41,2,5,8.39565658569336,34760000,1332340,10.888500213623047,14822.599609375,1
