year,geoid,pollutant,sourcetype,regclass,fueltype,roadtype,emissions,vmt,sourcehours,vehicles,starts,by
2025,42091,1,11,10,1,2,0,0,0,18029.400390625,1251940,1
2025,42091,1,11,10,1,3,0.4908755123615265,519534,10761.2001953125,18029.400390625,1251940,1
2025,42091,1,11,10,1,4,12.209607124328613,13149300,239913,18029.400390625,1251940,1
2025,42091,1,11,10,1,5,28.803722381591797,24435600,944679,18029.400390625,1251940,1
2025,42091,1,21,20,1,2,0,0,0,186693,224787008,1
2025,42091,1,21,20,1,3,0.87287837266922,18775900,391478,186693,224787008,1
2025,42091,1,21,20,1,4,36.24729919433594,812222016,14973800,186693,224787008,1
2025,42091,1,21,20,1,5,71.18682098388672,1159859968,45065600,186693,224787008,1
2025,42091,1,21,20,2,2,0,0,0,1468.1800537109375,1851040,1
2025,42091,1,21,20,2,3,0.005740772932767868,154099,3212.969970703125,1468.1800537109375,1851040,1
2025,42091,1,21,20,2,4,0.23670028150081635,6666140,122894,1468.1800537109375,1851040,1
2025,42091,1,21,20,2,5,0.47244927287101746,9519340,369866,1468.1800537109375,1851040,1
2025,42091,1,21,20,5,2,0,0,0,116.48200225830078,143958,1
2025,42091,1,21,20,5,3,4.2460585245862603e-4,11988.2001953125,249.95399475097656,116.48200225830078,143958,1
2025,42091,1,21,20,5,4,0.017886299639940262,518595,9560.580078125,116.48200225830078,143958,1
2025,42091,1,21,20,5,5,0.03323755040764809,740560,28773.900390625,116.48200225830078,143958,1
2025,42091,1,31,30,1,2,0,0,0,257665,365920992,1
2025,42091,1,31,30,1,3,2.3375303745269775,40759800,835902,257665,365920992,1
2025,42091,1,31,30,1,4,65.2883529663086,1167990016,21206200,257665,365920992,1
2025,42091,1,31,30,1,5,129.96778869628906,1779890048,68222600,257665,365920992,1
2025,42091,1,31,30,2,2,0,0,0,1403.06005859375,2091450,1
2025,42091,1,31,30,2,3,0.016879448667168617,228839,4693.02978515625,1403.06005859375,2091450,1
2025,42091,1,31,30,2,4,0.4572122395038605,6557490,119059,1403.06005859375,2091450,1
2025,42091,1,31,30,2,5,1.017943263053894,9992860,383024,1403.06005859375,2091450,1
2025,42091,1,31,30,5,2,0,0,0,615.510009765625,898788,1
2025,42091,1,31,30,5,3,0.0040333569049835205,100130,2053.4599609375,615.510009765625,898788,1
2025,42091,1,31,30,5,4,0.11477870494127274,2869270,52094.8984375,615.510009765625,898788,1
2025,42091,1,31,30,5,5,0.21419881284236908,4372440,167594,615.510009765625,898788,1
2025,42091,1,31,41,1,2,0,0,0,4882.72021484375,5653520,1
2025,42091,1,31,41,1,3,0.17604175209999084,642025,13166.7001953125,4882.72021484375,5653520,1
2025,42091,1,31,41,1,4,4.392600059509277,18397500,334028,4882.72021484375,5653520,1
2025,42091,1,31,41,1,5,13.797496795654297,28035700,1074600,4882.72021484375,5653520,1
2025,42091,1,31,41,2,2,0,0,0,11460.7001953125,17573100,1
2025,42091,1,31,41,2,3,0.16968417167663574,1941970,39825.8984375,11460.7001953125,17573100,1
2025,42091,1,31,41,2,4,4.458615303039551,55648100,1010350,11460.7001953125,17573100,1
2025,42091,1,31,41,2,5,11.699387550354004,84801296,3250410,11460.7001953125,17573100,1
2025,42091,1,32,30,1,2,0,0,0,22083,30761600,1
2025,42091,1,32,30,1,3,0.1287345141172409,2734460,58975.3984375,22083,30761600,1
2025,42091,1,32,30,1,4,4.932511806488037,112483000,2065510,22083,30761600,1
2025,42091,1,32,30,1,5,9.249063491821289,152594000,6020510,22083,30761600,1
2025,42091,1,32,30,2,2,0,0,0,94.40299987792969,114714,1
2025,42091,1,32,30,2,3,0.0016189920715987682,10124.5,218.36000061035156,94.40299987792969,114714,1
2025,42091,1,32,30,2,4,0.059271182864904404,416475,7647.68994140625,94.40299987792969,114714,1
2025,42091,1,32,30,2,5,0.12710069119930267,564991,22291.30078125,94.40299987792969,114714,1
2025,42091,1,32,30,5,2,0,0,0,71.39459991455078,98223.203125,1
2025,42091,1,32,30,5,3,3.243440296500921e-4,8785.6796875,189.48500061035156,71.39459991455078,98223.203125,1
2025,42091,1,32,30,5,4,0.012696178629994392,361402,6636.39013671875,71.39459991455078,98223.203125,1
2025,42091,1,32,30,5,5,0.022289494052529335,490279,19343.599609375,71.39459991455078,98223.203125,1
