polProcessID,processID,pollutantID,isAffectedByExhaustIM,isAffectedByEvapIM,chainedto1,chainedto2,isAffectedByOnroad,isAffectedByNonroad,nrChainedTo1,nrChainedTo2
101,1,1,Y,N,NA,NA,1,1,NA,NA
102,2,1,Y,N,NA,NA,1,0,NA,NA
111,11,1,N,N,NA,NA,1,0,NA,NA
112,12,1,N,Y,NA,NA,1,0,NA,NA
113,13,1,N,Y,NA,NA,1,0,NA,NA
115,15,1,N,N,101,NA,1,1,NA,NA
116,16,1,N,N,102,NA,1,0,NA,NA
117,17,1,N,N,190,NA,1,0,NA,NA
118,18,1,N,N,NA,NA,1,1,NA,NA
119,19,1,N,N,NA,NA,1,1,NA,NA
190,90,1,N,N,NA,NA,1,0,NA,NA
201,1,2,Y,N,NA,NA,1,1,NA,NA
202,2,2,Y,N,NA,NA,1,0,NA,NA
215,15,2,N,N,201,NA,1,0,NA,NA
216,16,2,N,N,202,NA,1,0,NA,NA
217,17,2,N,N,290,NA,1,0,NA,NA
290,90,2,N,N,NA,NA,1,0,NA,NA
301,1,3,Y,N,NA,NA,1,1,NA,NA
302,2,3,Y,N,NA,NA,1,0,NA,NA
315,15,3,N,N,301,NA,1,0,NA,NA
316,16,3,N,N,302,NA,1,0,NA,NA
317,17,3,N,N,390,NA,1,0,NA,NA
390,90,3,N,N,NA,NA,1,0,NA,NA
501,1,5,N,N,101,NA,1,1,101,NA
502,2,5,N,N,102,NA,1,0,NA,NA
515,15,5,N,N,501,NA,1,1,115,NA
516,16,5,N,N,502,NA,1,0,NA,NA
517,17,5,N,N,590,NA,1,0,NA,NA
590,90,5,N,N,190,NA,1,0,NA,NA
601,1,6,N,N,NA,NA,1,0,NA,NA
602,2,6,N,N,NA,NA,1,0,NA,NA
615,15,6,N,N,601,NA,1,0,NA,NA
616,16,6,N,N,602,NA,1,0,NA,NA
3101,1,31,N,N,9101,NA,1,1,NA,NA
3102,2,31,N,N,9102,NA,1,0,NA,NA
3115,15,31,N,N,3101,NA,1,0,NA,NA
3116,16,31,N,N,3102,NA,1,0,NA,NA
3117,17,31,N,N,3190,NA,1,0,NA,NA
3190,90,31,N,N,9190,NA,1,0,NA,NA
7901,1,79,N,N,101,NA,1,1,101,NA
7902,2,79,N,N,102,NA,1,0,NA,NA
7911,11,79,N,N,111,NA,1,0,NA,NA
7912,12,79,N,N,112,NA,1,0,NA,NA
7913,13,79,N,N,113,NA,1,0,NA,NA
7915,15,79,N,N,7901,NA,1,1,115,NA
7916,16,79,N,N,7902,NA,1,0,NA,NA
7917,17,79,N,N,7990,NA,1,0,NA,NA
7918,18,79,N,N,118,NA,1,1,118,NA
7919,19,79,N,N,119,NA,1,1,119,NA
7990,90,79,N,N,190,NA,1,0,NA,NA
8701,1,87,N,N,7901,NA,1,1,7901,NA
8702,2,87,N,N,7902,NA,1,0,NA,NA
8711,11,87,N,N,7911,NA,1,0,NA,NA
8712,12,87,N,N,7912,NA,1,0,NA,NA
8713,13,87,N,N,7913,NA,1,0,NA,NA
8715,15,87,N,N,8701,NA,1,1,7915,NA
8716,16,87,N,N,8702,NA,1,0,NA,NA
8717,17,87,N,N,8790,NA,1,0,NA,NA
8718,18,87,N,N,7918,NA,1,1,7918,NA
8719,19,87,N,N,7919,NA,1,1,7919,NA
8790,90,87,N,N,7990,NA,1,0,NA,NA
9001,1,90,N,N,NA,NA,1,1,NA,NA
9002,2,90,N,N,NA,NA,1,0,NA,NA
9090,90,90,N,N,NA,NA,1,0,NA,NA
9101,1,91,N,N,NA,NA,1,0,NA,NA
9102,2,91,N,N,NA,NA,1,0,NA,NA
9190,90,91,N,N,NA,NA,1,0,NA,NA
9801,1,98,N,N,NA,NA,1,0,NA,NA
9802,2,98,N,N,NA,NA,1,0,NA,NA
9890,90,98,N,N,NA,NA,1,0,NA,NA
10001,1,100,N,N,11001,NA,1,1,NA,NA
10002,2,100,N,N,11002,NA,1,0,NA,NA
10015,15,100,N,N,11015,NA,1,0,NA,NA
10016,16,100,N,N,11016,NA,1,0,NA,NA
10017,17,100,N,N,11017,NA,1,0,NA,NA
10090,90,100,N,N,11090,NA,1,0,NA,NA
10609,9,106,N,N,11609,NA,1,0,NA,NA
10710,10,107,N,N,11710,NA,1,0,NA,NA
11001,1,110,N,N,11201,11801,1,1,NA,NA
11002,2,110,N,N,11202,11802,1,0,NA,NA
11015,15,110,N,N,11201,11801,1,0,NA,NA
11016,16,110,N,N,11202,11802,1,0,NA,NA
11017,17,110,N,N,11290,11890,1,0,NA,NA
11090,90,110,N,N,11290,11890,1,0,NA,NA
11201,1,112,N,N,NA,NA,1,0,NA,NA
11202,2,112,N,N,NA,NA,1,0,NA,NA
11215,15,112,N,N,11201,NA,1,0,NA,NA
11216,16,112,N,N,11202,NA,1,0,NA,NA
11217,17,112,N,N,11290,NA,1,0,NA,NA
11290,90,112,N,N,NA,NA,1,0,NA,NA
11501,1,115,N,N,11801,NA,1,0,NA,NA
11502,2,115,N,N,11802,NA,1,0,NA,NA
11515,15,115,N,N,11501,NA,1,0,NA,NA
11516,16,115,N,N,11502,NA,1,0,NA,NA
11517,17,115,N,N,11590,NA,1,0,NA,NA
11590,90,115,N,N,11890,NA,1,0,NA,NA
11609,9,116,N,N,11001,NA,1,0,NA,NA
11710,10,117,N,N,11001,NA,1,0,NA,NA
191,91,1,N,N,NA,NA,1,0,NA,NA
291,91,2,N,N,NA,NA,1,0,NA,NA
391,91,3,N,N,NA,NA,1,0,NA,NA
591,91,5,N,N,191,NA,1,0,NA,NA
3191,91,31,N,N,9191,NA,1,0,NA,NA
7991,91,79,N,N,191,NA,1,0,NA,NA
8791,91,87,N,N,7991,NA,1,0,NA,NA
9091,91,90,N,N,NA,NA,1,0,NA,NA
9191,91,91,N,N,NA,NA,1,0,NA,NA
9891,91,98,N,N,NA,NA,1,0,NA,NA
10091,91,100,N,N,11091,NA,1,0,NA,NA
11091,91,110,N,N,11291,11891,1,0,NA,NA
