yearID,sourceTypeID,salesGrowthFactor,sourceTypePopulation,migrationrate
1990,11,0,3657632,1
1990,21,0,143549627,1
1990,31,0,35233652,1
1990,32,0,3330743,1
1990,41,0,172025,1
1990,42,0,48151,1
1990,43,0,318050,1
1990,51,0,57229,1
1990,52,0,3300770,1
1990,53,0,145578,1
1990,54,0,795855,1
1990,61,0,1010435,1
1990,62,0,604587,1
1999,11,0,4032581,1
1999,21,0,132432044,1
1999,31,0,67831975,1
1999,32,0,6412359,1
1999,41,0,226133,1
1999,42,0,63296,1
1999,43,0,418087,1
1999,51,0,102180,1
1999,52,0,5229900,1
1999,53,0,230661,1
1999,54,0,1041260,1
1999,61,0,1320899,1
1999,62,0,978569,1
2000,11,0,4346068,1
2000,21,0,133621420,1
2000,31,0,71372854,1
2000,32,0,6747089,1
2000,41,0,238473,1
2000,42,0,66750,1
2000,43,0,440902,1
2000,51,0,98708,1
2000,52,0,5225066,1
2000,53,0,230448,1
2000,54,0,1023540,1
2000,61,0,1387368,1
2000,62,0,1022554,1
2001,11,0,4903056,1
2001,21,0,137633467,1
2001,31,0,75468041,1
2001,32,0,7134220,1
2001,41,0,239567,1
2001,42,0,67056,1
2001,43,0,442925,1
2001,51,0,101383,1
2001,52,0,5555547,1
2001,53,0,245023,1
2001,54,0,1070569,1
2001,61,0,1425354,1
2001,62,0,1045174,1
2002,11,0,5004156,1
2002,21,0,135920677,1
2002,31,0,76343163,1
2002,32,0,7216948,1
2002,41,0,243137,1
2002,42,0,68055,1
2002,43,0,449525,1
2002,51,0,98025,1
2002,52,0,5566262,1
2002,53,0,245496,1
2002,54,0,1054998,1
2002,61,0,1395588,1
2002,62,0,1018105,1
2003,11,0,5370035,1
2003,21,0,135669897,1
2003,31,0,78109534,1
2003,32,0,7383928,1
2003,41,0,237582,1
2003,42,0,68604,1
2003,43,0,470364,1
2003,51,0,96029,1
2003,52,0,5656706,1
2003,53,0,249485,1
2003,54,0,1054327,1
2003,61,0,1386937,1
2003,62,0,1006605,1
2004,11,0,5780870,1
2004,21,0,136430651,1
2004,31,0,82631649,1
2004,32,0,7811417,1
2004,41,0,256107,1
2004,42,0,68796,1
2004,43,0,470371,1
2004,51,0,94274,1
2004,52,0,5767659,1
2004,53,0,254378,1
2004,54,0,1056953,1
2004,61,0,1393895,1
2004,62,0,1006464,1
2005,11,0,6227146,1
2005,21,0,136568083,1
2005,31,0,85821437,1
2005,32,0,8112957,1
2005,41,0,264495,1
2005,42,0,69514,1
2005,43,0,473044,1
2005,51,0,94076,1
2005,52,0,5985115,1
2005,53,0,263969,1
2005,54,0,1078182,1
2005,61,0,1433416,1
2005,62,0,1029685,1
2006,11,0,6678958,1
2006,21,0,135399945,1
2006,31,0,89179459,1
2006,32,0,8430401,1
2006,41,0,274929,1
2006,42,0,70232,1
2006,43,0,476798,1
2006,51,0,94704,1
2006,52,0,6273755,1
2006,53,0,276699,1
2006,54,0,1110776,1
2006,61,0,1503506,1
2006,62,0,1074482,1
2007,11,0,7138476,1
2007,21,0,135932930,1
2007,31,0,91130392,1
2007,32,0,8614829,1
2007,41,0,266607,1
2007,42,0,82378,1
2007,43,0,485451,1
2007,51,0,95326,1
2007,52,0,6585230,1
2007,53,0,290437,1
2007,54,0,1145679,1
2007,61,0,1540261,1
