sourceTypeID,roadTypeID,hourDayID,avgSpeedBinID,avgSpeedFraction
11,5,202,12,0.027808
11,5,202,3,0.116516
11,5,212,5,0.179467
11,5,212,4,0.180606
11,5,212,3,0.109909
11,5,212,2,0.0769214
11,5,212,1,0.0891678
11,5,202,16,0.00474551
11,5,202,15,0.00510519
11,5,212,7,0.0483247
11,5,202,13,0.0322724
11,5,212,8,0.0276052
11,5,202,11,0.0194179
11,5,202,10,0.0184855
11,5,202,9,0.0197784
11,5,202,8,0.0257698
11,5,202,7,0.0480497
11,5,202,6,0.111926
11,5,202,5,0.18758
11,5,222,12,0.0402323
11,5,202,14,0.0199558
11,5,222,1,0.0896171
11,5,172,9,0.0180615
11,5,222,10,0.0209424
11,5,222,9,0.0235994
11,5,222,8,0.0318419
11,5,222,7,0.0532957
11,5,222,6,0.113976
11,5,222,5,0.164315
11,5,222,4,0.158742
11,5,212,6,0.114776
11,5,222,2,0.0801259
11,5,202,2,0.090862299999999993
11,5,212,16,0.00482813
11,5,212,15,0.00514918
11,5,212,14,0.0205344
11,5,212,13,0.0414522
11,5,212,12,0.0365495
11,5,212,11,0.0247554
11,5,212,10,0.0184589
11,5,212,9,0.0214957
11,5,222,3,0.112438
11,5,182,2,0.0866975
11,5,202,4,0.176661
11,5,182,11,0.0210081
11,5,182,10,0.0177281
11,5,182,9,0.0158786
11,5,182,8,0.0267033
11,5,182,7,0.0458043
11,5,182,6,0.0936915
11,5,182,5,0.178492
11,5,182,13,0.0358035
11,5,182,3,0.126575
11,5,182,14,0.0206182
11,5,182,1,0.0901266
11,5,172,16,0.00600104
11,5,172,15,0.00818821
11,5,172,14,0.0208775
11,5,172,13,0.0280305
11,5,172,12,0.0255358
11,5,172,11,0.0165013
11,5,35,16,0.0185179
11,5,182,4,0.197637
11,5,192,7,0.0442565
11,5,202,1,0.0950658
11,5,192,16,0.00486345
11,5,192,15,0.00722243
11,5,192,14,0.0195851
11,5,192,13,0.0297186
11,5,192,12,0.0310805
11,5,192,11,0.0228106
11,5,192,10,0.0194566
11,5,182,12,0.0288239
11,5,192,8,0.0249283
11,5,222,13,0.049033
11,5,192,6,0.100133
11,5,192,5,0.182618
11,5,192,4,0.191992
11,5,192,3,0.130332
11,5,192,2,0.0816113
11,5,192,1,0.0910863
11,5,182,16,0.00765168
11,5,182,15,0.00676061
11,5,192,9,0.0183055
11,5,15,16,0.0194451
11,5,15,7,0.0709844
11,5,25,9,0.0251466
11,5,25,8,0.0398658
11,5,25,7,0.0821685
11,5,25,6,0.125118
11,5,25,5,0.151227
11,5,25,4,0.136927
11,5,25,3,0.0936264
11,5,25,11,0.0225144
11,5,25,1,0.0926719
11,5,25,12,0.0340555
11,5,15,15,0.0141404
11,5,15,14,0.0247626
11,5,15,13,0.0318987
11,5,15,12,0.0296043
11,5,15,11,0.0180345
11,5,15,10,0.0182384
11,5,15,9,0.0297764
11,5,222,11,0.0262773
11,5,25,2,0.0858528
11,5,35,5,0.136486
11,5,72,1,0.0867227
11,5,35,14,0.027699
11,5,35,13,0.0432941
11,5,35,12,0.0302227
11,5,35,11,0.0313255
11,5,35,10,0.0264677
11,5,35,9,0.0344513
11,5,35,8,0.0381927
11,5,25,10,0.018794
11,5,35,6,0.106662
11,5,15,6,0.144202
11,5,35,4,0.120715
11,5,35,3,0.089917
11,5,35,2,0.0985501
11,5,35,1,0.0976638
11,5,25,16,0.0112446
11,5,25,15,0.0181757
11,5,25,14,0.0276088
11,5,25,13,0.0350028
11,5,35,7,0.0823258
11,5,232,6,0.12107
11,5,15,8,0.0343673
11,5,232,15,0.0104015
11,5,232,14,0.0271897
11,5,232,13,0.0472484
11,5,232,12,0.038208
11,5,232,11,0.0307503
11,5,232,10,0.0200418
11,5,232,9,0.0242038
11,5,242,1,0.0862423
11,5,232,7,0.0558023
11,5,242,2,0.0690906
11,5,232,5,0.167442
11,5,232,4,0.148456
11,5,232,3,0.09822
11,5,232,2,0.0756408
11,5,232,1,0.0942654
11,5,222,16,0.00636682
11,5,222,15,0.00798676
11,5,222,14,0.0212111
11,5,232,8,0.0319769
11,5,242,11,0.0274681
11,5,15,5,0.178611
11,5,15,4,0.142045
11,5,15,3,0.0865652
11,5,15,2,0.0730749
11,5,15,1,0.0842495
11,5,242,16,0.01268
11,5,242,15,0.00947392
11,5,242,14,0.0302666
11,5,232,16,0.0090838
11,5,242,12,0.0423986
11,5,172,8,0.0236158
11,5,242,10,0.0204631
11,5,242,9,0.0246735
11,5,242,8,0.0311091
11,5,242,7,0.066179
11,5,242,6,0.140385
11,5,242,5,0.182017
11,5,242,4,0.132543
11,5,242,3,0.080345
11,5,242,13,0.0446647
