sourceTypeID,monthID,monthVMTFraction
11,1,0
11,2,0
11,3,0.10305425
11,4,0.107112345
11,5,0.112558736
11,6,0.11629645500000001
11,7,0.113840239
11,8,0.113733447
11,9,0.11416061499999999
11,10,0.113306279
11,11,0.105937633
11,12,0
21,1,0.070102406
21,2,0.070518691
21,3,0.080343019
21,4,0.083506785
21,5,0.087752893
21,6,0.090666889
21,7,0.088751977
21,8,0.08866872
21,9,0.089001748
21,10,0.088335692
21,11,0.082590958
21,12,0.07976022
31,1,0.070102406
31,2,0.070518691
31,3,0.080343019
31,4,0.083506785
31,5,0.087752893
31,6,0.090666889
31,7,0.088751977
31,8,0.08866872
31,9,0.089001748
31,10,0.088335692
31,11,0.082590958
31,12,0.07976022
32,1,0.070102406
32,2,0.070518691
32,3,0.080343019
32,4,0.083506785
32,5,0.087752893
32,6,0.090666889
32,7,0.088751977
32,8,0.08866872
32,9,0.089001748
32,10,0.088335692
32,11,0.082590958
32,12,0.07976022
41,1,0.070102406
41,2,0.070518691
41,3,0.080343019
41,4,0.083506785
41,5,0.087752893
41,6,0.090666889
41,7,0.088751977
41,8,0.08866872
41,9,0.089001748
41,10,0.088335692
41,11,0.082590958
41,12,0.07976022
42,1,0.070102406
42,2,0.070518691
42,3,0.080343019
42,4,0.083506785
42,5,0.087752893
42,6,0.090666889
42,7,0.088751977
42,8,0.08866872
42,9,0.089001748
42,10,0.088335692
42,11,0.082590958
42,12,0.07976022
43,1,0.070102406
43,2,0.070518691
43,3,0.080343019
43,4,0.083506785
43,5,0.087752893
43,6,0.090666889
43,7,0.088751977
43,8,0.08866872
43,9,0.089001748
43,10,0.088335692
43,11,0.082590958
43,12,0.07976022
51,1,0.070102406
51,2,0.070518691
51,3,0.080343019
51,4,0.083506785
51,5,0.087752893
51,6,0.090666889
51,7,0.088751977
51,8,0.08866872
51,9,0.089001748
51,10,0.088335692
51,11,0.082590958
51,12,0.07976022
52,1,0.070102406
52,2,0.070518691
52,3,0.080343019
52,4,0.083506785
52,5,0.087752893
52,6,0.090666889
52,7,0.088751977
52,8,0.08866872
52,9,0.089001748
52,10,0.088335692
52,11,0.082590958
52,12,0.07976022
53,1,0.070102406
53,2,0.070518691
53,3,0.080343019
53,4,0.083506785
53,5,0.087752893
53,6,0.090666889
53,7,0.088751977
53,8,0.08866872
53,9,0.089001748
53,10,0.088335692
53,11,0.082590958
53,12,0.07976022
54,1,0.070102406
54,2,0.070518691
54,3,0.080343019
54,4,0.083506785
54,5,0.087752893
54,6,0.090666889
54,7,0.088751977
54,8,0.08866872
54,9,0.089001748
54,10,0.088335692
54,11,0.082590958
54,12,0.07976022
61,1,0.070102406
61,2,0.070518691
61,3,0.080343019
61,4,0.083506785
61,5,0.087752893
61,6,0.090666889
61,7,0.088751977
61,8,0.08866872
61,9,0.089001748
61,10,0.088335692
61,11,0.082590958
61,12,0.07976022
62,1,0.070102406
62,2,0.070518691
62,3,0.080343019
62,4,0.083506785
62,5,0.087752893
62,6,0.090666889
62,7,0.088751977
62,8,0.08866872
62,9,0.089001748
62,10,0.088335692
62,11,0.082590958
62,12,0.07976022
