sourceTypeID,roadTypeID,roadTypeVMTFraction
11,1,0
11,2,0
11,3,0
11,4,0.128245724
11,5,0.871754276
21,1,0
21,2,0
21,3,0
21,4,0.466354771
21,5,0.533645229
31,1,0
31,2,0
31,3,0
31,4,0.466354771
31,5,0.533645229
32,1,0
32,2,0
32,3,0
32,4,0.466354771
32,5,0.533645229
41,1,0
41,2,0
41,3,0
41,4,0.285735742
41,5,0.714264258
42,1,0
42,2,0
42,3,0
42,4,0.285735742
42,5,0.714264258
43,1,0
43,2,0
43,3,0
43,4,0.285735742
43,5,0.714264258
51,1,0
51,2,0
51,3,0
51,4,0.384279119
51,5,0.615720881
52,1,0
52,2,0
52,3,0
52,4,0.384279119
52,5,0.615720881
53,1,0
53,2,0
53,3,0
53,4,0.384279119
53,5,0.615720881
54,2,0
54,3,0
54,4,0.384279119
54,5,0.615720881
61,1,0
61,2,0
61,3,0
61,4,0.688539617
61,5,0.311460383
62,1,0
62,2,0
62,3,0
62,4,0.688539617
62,5,0.311460383
