sourceTypeID,roadTypeID,hourDayID,avgSpeedBinID,avgSpeedFraction
11,5,105,5,0.131262
11,5,95,11,0.0207255
11,5,95,12,0.0190747
11,5,95,13,0.0101461
11,5,95,14,0.00450816
11,5,95,15,0.00101461
11,5,95,16,0.00550083
11,5,105,1,0.0676751
11,5,105,2,0.0970235
11,5,105,15,5.0316e-4
11,5,105,4,0.158637
11,5,95,8,0.077955
11,5,105,6,0.125248
11,5,105,7,0.103266
11,5,105,8,0.0783437
11,5,105,9,0.0475487
11,5,105,10,0.0339319
11,5,105,11,0.0177443
11,5,105,12,0.0128149
11,5,105,13,0.00475644
11,5,85,3,0.100175
11,5,105,3,0.105845
11,5,85,15,3.53596e-4
11,5,135,12,0.0139613
11,5,85,5,0.105802
11,5,85,6,0.121099
11,5,85,7,0.146296
11,5,85,8,0.101205
11,5,85,9,0.0910894
11,5,85,10,0.0611567
11,5,85,11,0.0403714
11,5,85,12,0.0278418
11,5,95,10,0.030356
11,5,85,14,0.00385881
11,5,95,9,0.0406777
11,5,85,16,0.00186022
11,5,95,1,0.0594233
11,5,95,2,0.0779824
11,5,95,3,0.117909
11,5,95,4,0.191076
11,5,95,5,0.142336
11,5,95,6,0.12098
11,5,95,7,0.0803352
11,5,105,16,0.00573917
11,5,85,13,0.00997755
11,5,135,2,0.1064
11,5,125,8,0.0556783
11,5,125,9,0.0332216
11,5,125,10,0.0204962
11,5,125,11,0.0246727
11,5,125,12,0.00812718
11,5,125,13,0.0085074
11,5,125,14,0.00447351
11,5,125,15,0.00111689
11,5,105,14,0.00966225
11,5,135,1,0.0763511
11,5,125,5,0.117529
11,5,135,3,0.149193
11,5,135,4,0.161711
11,5,135,5,0.127317
11,5,135,6,0.106308
11,5,135,7,0.08673
11,5,135,8,0.0605709
11,5,135,9,0.0483055
11,5,135,10,0.0292193
11,5,25,9,0.0347859
11,5,125,16,0.00225161
11,5,115,12,0.00857709
11,5,115,1,0.0769336
11,5,115,2,0.0899257
11,5,115,3,0.138086
11,5,115,4,0.154778
11,5,115,5,0.153976
11,5,115,6,0.124306
11,5,115,7,0.0763917
11,5,115,8,0.0731112
11,5,115,9,0.0419099
11,5,125,7,0.0840462
11,5,115,11,0.0178117
11,5,125,6,0.116234
11,5,115,13,0.00265911
11,5,115,14,0.00403203
11,5,115,15,0.0010911
11,5,115,16,0.0049208
11,5,125,1,0.085282
11,5,125,2,0.0972648
11,5,125,3,0.15362
11,5,125,4,0.187478
11,5,85,2,0.0610952
11,5,115,10,0.0314903
11,5,45,11,0.0986868
11,5,45,1,0.0716275
11,5,45,2,0.0636689
11,5,45,3,0.161162
11,5,45,4,0.017509
11,5,45,5,0.165141
11,5,45,6,0.146836
11,5,45,7,0.097493
11,5,45,8,0.0783924
11,5,55,5,0.0601931
11,5,45,10,0
11,5,35,14,0
11,5,45,12,0.00397931
11,5,45,13,0.0139276
11,5,45,14,0
11,5,45,15,7.95862e-4
11,5,45,16,0.0680462
11,5,55,1,0.0857467
11,5,55,2,0.0499716
11,5,55,3,0.0295287
11,5,85,4,0.0954863
11,5,45,9,0.0127338
11,5,35,5,0.156303
11,5,25,10,0.104358
11,5,25,11,0.0690107
11,5,25,12,0.0693847
11,5,25,13,0
11,5,25,14,0.0662053
11,5,25,15,0
11,5,25,16,0
11,5,35,1,0.104622
11,5,35,2,0.0911765
11,5,35,16,0
11,5,35,4,0
11,5,35,15,0
11,5,35,6,0
11,5,35,7,0.0844538
11,5,35,8,0.202101
11,5,35,9,0.0907563
11,5,35,10,0.128571
11,5,35,11,0.0189076
11,5,35,12,0.00630252
11,5,35,13,0.0441176
11,5,55,6,0.0579216
11,5,35,3,0.0726891
11,5,75,8,0.134938
11,5,65,14,0
11,5,65,15,0.0273623
11,5,65,16,0
11,5,75,1,0.0386516
11,5,75,2,0.0157053
11,5,75,3,0.0283282
11,5,75,4,0.0549929
11,5,75,5,0.101179
11,5,55,4,0.258376
11,5,75,7,0.145017
11,5,65,11,0.0943236
11,5,75,9,0.119967
11,5,75,10,0.130192
11,5,75,11,0.0525466
11,5,75,12,0.0183962
11,5,75,13,0.0234845
11,5,75,14,0.00914918
11,5,75,15,0
11,5,75,16,1.95704e-4
11,5,85,1,0.032331
11,5,75,6,0.127257
11,5,65,2,0.00407886
11,5,55,7,0.00795003
11,5,55,8,0.234526
11,5,55,9,0.162408
11,5,55,10,0
11,5,55,11,0.011925
11,5,55,12,0.0181715
11,5,55,13,0.0147643
11,5,55,14,0.00851789
11,5,55,15,0
11,5,65,13,0.00169952
11,5,65,1,0.0351801
11,5,65,12,0.0333107
11,5,65,3,0.0351801
11,5,65,4,0.0673012
11,5,65,5,0.164344
11,5,65,6,0.14429
11,5,65,7,0.0763086
11,5,65,8,0.128144
11,5,65,9,0.0885452
11,5,65,10,0.099932000000000007
11,5,135,13,0.00440594
11,5,55,16,0
11,5,215,11,0.0282924
11,5,215,1,0.0689852
11,5,215,2,0.0745866
11,5,215,3,0.109816
11,5,215,4,0.15974
11,5,215,5,0.17929
11,5,215,6,0.113815
11,5,215,7,0.100557
11,5,215,8,0.050919
11,5,225,5,0.138803
11,5,215,10,0.0310931
11,5,205,14,0.00426276
11,5,215,12,0.0186282
11,5,215,13,0.0081533
11,5,215,14,0.00366668
11,5,215,15,9.21277e-6
11,5,215,16,0.0036114
11,5,225,1,0.0664224
11,5,225,2,0.0860381
11,5,225,3,0.121667
11,5,195,9,0.03958
11,5,215,9,0.0488369
11,5,205,5,0.143761
11,5,135,11,0.0183243
11,5,195,11,0.018318
11,5,195,12,0.0208841
11,5,195,13,0.010772
11,5,195,14,0.0044667
11,5,195,15,1.52274e-4
11,5,195,16,0.00222771
11,5,205,1,0.0568531
11,5,205,2,0.0988073
11,5,205,16,0.00161069
11,5,205,4,0.174079
11,5,205,15,0.00217998
11,5,205,6,0.0915522
11,5,205,7,0.0735431
11,5,205,8,0.055645
11,5,205,9,0.0446479
11,5,205,10,0.0385107
11,5,205,11,0.0317416
11,5,205,12,0.00708146
11,5,205,13,0.00461684
11,5,225,6,0.116909
11,5,205,3,0.171108
11,5,245,8,0.0544324
11,5,235,14,0.00189824
11,5,235,15,0.00179834
11,5,235,16,0.00487049
11,5,245,1,0.0709733
11,5,245,2,0.107301
11,5,245,3,0.126305
11,5,245,4,0.142494
11,5,245,5,0.126266
11,5,225,4,0.187365
11,5,245,7,0.106988
11,5,235,11,0.0334191
11,5,245,9,0.056935
11,5,245,10,0.0431705
11,5,245,11,0.0425058
