sourceTypeID,monthID,monthVMTFraction
11,1,0
11,2,0
11,3,0.096519277
11,4,0.102149749
11,5,0.110908843
11,6,0.118635127
11,7,0.121753831
11,8,0.121518182
11,9,0.115877553
11,10,0.111450321
11,11,0.101187117
11,12,0
21,1,0.066447372
21,2,0.067402512
21,3,0.076922446
21,4,0.081211093
21,5,0.087794648
21,6,0.093493479
21,7,0.095390653
21,8,0.095217573
21,9,0.091377992
21,10,0.088243411
21,11,0.080428973
21,12,0.076069849
31,1,0.066447372
31,2,0.067402512
31,3,0.076922446
31,4,0.081211093
31,5,0.087794648
31,6,0.093493479
31,7,0.095390653
31,8,0.095217573
31,9,0.091377992
31,10,0.088243411
31,11,0.080428973
31,12,0.076069849
32,1,0.066447372
32,2,0.067402512
32,3,0.076922446
32,4,0.081211093
32,5,0.087794648
32,6,0.093493479
32,7,0.095390653
32,8,0.095217573
32,9,0.091377992
32,10,0.088243411
32,11,0.080428973
32,12,0.076069849
41,1,0.066188899
41,2,0.067182144
41,3,0.076680552
41,4,0.081048748
41,5,0.087797601
41,6,0.093693367
41,7,0.095860121
41,8,0.09568069
41,9,0.091546033
41,10,0.088236886
41,11,0.080276083
41,12,0.075808877
42,1,0.066188899
42,2,0.067182144
42,3,0.076680552
42,4,0.081048748
42,5,0.087797601
42,6,0.093693367
42,7,0.095860121
42,8,0.09568069
42,9,0.091546033
42,10,0.088236886
42,11,0.080276083
42,12,0.075808877
43,1,0.066188899
43,2,0.067182144
43,3,0.076680552
43,4,0.081048748
43,5,0.087797601
43,6,0.093693367
43,7,0.095860121
43,8,0.09568069
43,9,0.091546033
43,10,0.088236886
43,11,0.080276083
43,12,0.075808877
51,1,0.065553936
51,2,0.066640793
51,3,0.076086321
51,4,0.080649934
51,5,0.087804854
51,6,0.09418441
51,7,0.097013411
51,8,0.096818375
51,9,0.091958841
51,10,0.088220854
51,11,0.079900497
51,12,0.075167775
52,1,0.065553936
52,2,0.066640793
52,3,0.076086321
52,4,0.080649934
52,5,0.087804854
52,6,0.09418441
52,7,0.097013411
52,8,0.096818375
52,9,0.091958841
52,10,0.088220854
52,11,0.079900497
52,12,0.075167775
53,1,0.065553936
53,2,0.066640793
53,3,0.076086321
53,4,0.080649934
53,5,0.087804854
53,6,0.09418441
53,7,0.097013411
53,8,0.096818375
53,9,0.091958841
53,10,0.088220854
53,11,0.079900497
53,12,0.075167775
54,1,0.065553936
54,2,0.066640793
54,3,0.076086321
54,4,0.080649934
54,5,0.087804854
54,6,0.09418441
54,7,0.097013411
54,8,0.096818375
54,9,0.091958841
54,10,0.088220854
54,11,0.079900497
54,12,0.075167775
61,1,0.065332492
61,2,0.066451996
61,3,0.075879082
61,4,0.080510847
61,5,0.087807384
61,6,0.094355662
61,7,0.097415622
61,8,0.097215144
61,9,0.092102808
61,10,0.088215263
61,11,0.079769511
61,12,0.07494419
62,1,0.065332492
62,2,0.066451996
62,3,0.075879082
62,4,0.080510847
62,5,0.087807384
62,6,0.094355662
62,7,0.097415622
62,8,0.097215144
62,9,0.092102808
62,10,0.088215263
62,11,0.079769511
62,12,0.07494419
