sourceTypeID,roadTypeID,roadTypeVMTFraction
11,1,0
11,2,0
11,3,0.618633128
11,4,0.05070281
11,5,0.330664062
21,1,0
21,2,0
21,3,0.537950053
21,4,0.073539985
21,5,0.388509962
31,1,0
31,2,0
31,3,0.537950053
31,4,0.073539985
31,5,0.388509962
32,1,0
32,2,0
32,3,0.537950053
32,4,0.073539985
32,5,0.388509962
41,1,0
41,2,0
41,3,0.575992392
41,4,0.036100235
41,5,0.387907373
42,1,0
42,2,0
42,3,0.575992392
42,4,0.036100235
42,5,0.387907373
43,1,0
43,2,0
43,3,0.575992392
43,4,0.036100235
43,5,0.387907373
51,1,0
51,2,0
51,3,0.669446601
51,4,0.055148207
51,5,0.275405192
52,1,0
52,2,0
52,3,0.669446601
52,4,0.055148207
52,5,0.275405192
53,1,0
53,2,0
53,3,0.669446601
53,4,0.055148207
53,5,0.275405192
54,2,0
54,3,0.669446601
54,4,0.055148207
54,5,0.275405192
61,1,0
61,2,0
61,3,0.702038836
61,4,0.166322783
61,5,0.131638381
62,1,0
62,2,0
62,3,0.702038836
62,4,0.166322783
62,5,0.131638381
