dayID,hourID,sourceTypeID,allocationFraction
2,1,11,0.015445509
2,1,21,0.015445509
2,2,11,0.007123622
2,2,21,0.007123622
2,3,11,0.00478009
2,3,21,0.00478009
2,4,11,0.003378091
2,4,21,0.003378091
2,5,11,0.003073435
2,5,21,0.003073435
2,6,11,0.005420426
2,6,21,0.005420426
2,7,11,0.011528158
2,7,21,0.011528158
2,8,11,0.02212502
2,8,21,0.02212502
2,9,11,0.037651867
2,9,21,0.037651867
2,10,11,0.055457259
2,10,21,0.055457259
2,11,11,0.067600252
2,11,21,0.067600252
2,12,11,0.075740171
2,12,21,0.075740171
2,13,11,0.082533671
2,13,21,0.082533671
2,14,11,0.080876442
2,14,21,0.080876442
2,15,11,0.07771638
2,15,21,0.07771638
2,16,11,0.075236843
2,16,21,0.075236843
2,17,11,0.073459231
2,17,21,0.073459231
2,18,11,0.069511547
2,18,21,0.069511547
2,19,11,0.063309462
2,19,21,0.063309462
2,20,11,0.053512559
2,20,21,0.053512559
2,21,11,0.04328061
2,21,21,0.04328061
2,22,11,0.032895677
2,22,21,0.032895677
2,23,11,0.023431731
2,23,21,0.023431731
2,24,11,0.014911949
2,24,21,0.014911949
5,1,11,0.007283754
5,1,21,0.007283754
5,2,11,0.002980339
5,2,21,0.002980339
5,3,11,0.00209671
5,3,21,0.00209671
5,4,11,0.002223716
5,4,21,0.002223716
5,5,11,0.004435591
5,5,21,0.004435591
5,6,11,0.012048176
5,6,21,0.012048176
5,7,11,0.028269966
5,7,21,0.028269966
5,8,11,0.052445791
5,8,21,0.052445791
5,9,11,0.0524137
5,9,21,0.0524137
5,10,11,0.049011531
5,10,21,0.049011531
5,11,11,0.052542804
5,11,21,0.052542804
5,12,11,0.062333532
5,12,21,0.062333532
5,13,11,0.070347824
5,13,21,0.070347824
5,14,11,0.067778889
5,14,21,0.067778889
5,15,11,0.070030355
5,15,21,0.070030355
5,16,11,0.073282189
5,16,21,0.073282189
5,17,11,0.077930309
5,17,21,0.077930309
5,18,11,0.082812884
5,18,21,0.082812884
5,19,11,0.06940326
5,19,21,0.06940326
5,20,11,0.054409393
5,20,21,0.054409393
5,21,11,0.042963196
5,21,21,0.042963196
5,22,11,0.031492752
5,22,21,0.031492752
5,23,11,0.019793058
5,23,21,0.019793058
5,24,11,0.011670281
5,24,21,0.011670281
2,1,31,0.010327355
2,1,32,0.010327355
2,1,54,0.010327355
2,2,31,0.004903755
2,2,32,0.004903755
2,2,54,0.004903755
2,3,31,0.003150801
2,3,32,0.003150801
2,3,54,0.003150801
2,4,31,0.002522776
2,4,32,0.002522776
2,4,54,0.002522776
2,5,31,0.003140109
2,5,32,0.003140109
2,5,54,0.003140109
2,6,31,0.00595182
2,6,32,0.00595182
2,6,54,0.00595182
2,7,31,0.012201689
2,7,32,0.012201689
2,7,54,0.012201689
2,8,31,0.02401324
2,8,32,0.02401324
2,8,54,0.02401324
2,9,31,0.042029386
2,9,32,0.042029386
2,9,54,0.042029386
2,10,31,0.061253962
2,10,32,0.061253962
2,10,54,0.061253962
2,11,31,0.073993464
2,11,32,0.073993464
2,11,54,0.073993464
2,12,31,0.080540332
2,12,32,0.080540332
2,12,54,0.080540332
2,13,31,0.087273973
2,13,32,0.087273973
2,13,54,0.087273973
2,14,31,0.083026528
2,14,32,0.083026528
2,14,54,0.083026528
2,15,31,0.079448929
2,15,32,0.079448929
2,15,54,0.079448929
2,16,31,0.075690916
2,16,32,0.075690916
2,16,54,0.075690916
2,17,31,0.073751943
2,17,32,0.073751943
2,17,54,0.073751943
2,18,31,0.069367434
2,18,32,0.069367434
2,18,54,0.069367434
2,19,31,0.06143006
2,19,32,0.06143006
2,19,54,0.06143006
2,20,31,0.050998266
2,20,32,0.050998266
2,20,54,0.050998266
2,21,31,0.038788758
2,21,32,0.038788758
2,21,54,0.038788758
2,22,31,0.027392465
2,22,32,0.027392465
2,22,54,0.027392465
2,23,31,0.018036538
2,23,32,0.018036538
2,23,54,0.018036538
2,24,31,0.010765504
2,24,32,0.010765504
2,24,54,0.010765504
5,1,31,0.004780632
5,1,32,0.004780632
5,1,54,0.004780632
5,2,31,0.002152085
5,2,32,0.002152085
5,2,54,0.002152085
5,3,31,0.001586151
5,3,32,0.001586151
5,3,54,0.001586151
5,4,31,0.002088867
5,4,32,0.002088867
5,4,54,0.002088867
5,5,31,0.005011267
5,5,32,0.005011267
5,5,54,0.005011267
5,6,31,0.013294809
5,6,32,0.013294809
5,6,54,0.013294809
5,7,31,0.029904633
5,7,32,0.029904633
5,7,54,0.029904633
5,8,31,0.057178127
5,8,32,0.057178127
5,8,54,0.057178127
5,9,31,0.056768862
5,9,32,0.056768862
5,9,54,0.056768862
5,10,31,0.051736268
5,10,32,0.051736268
5,10,54,0.051736268
5,11,31,0.055189005
5,11,32,0.055189005
5,11,54,0.055189005
5,12,31,0.065487474
5,12,32,0.065487474
5,12,54,0.065487474
5,13,31,0.072020387
5,13,32,0.072020387
5,13,54,0.072020387
5,14,31,0.067441879
5,14,32,0.067441879
5,14,54,0.067441879
5,15,31,0.071669968
5,15,32,0.071669968
5,15,54,0.071669968
5,16,31,0.077526772
5,16,32,0.077526772
5,16,54,0.077526772
5,17,31,0.080605042
5,17,32,0.080605042
5,17,54,0.080605042
5,18,31,0.082696761
5,18,32,0.082696761
5,18,54,0.082696761
5,19,31,0.065889501
5,19,32,0.065889501
5,19,54,0.065889501
5,20,31,0.050678613
5,20,32,0.050678613
5,20,54,0.050678613
5,21,31,0.038239455
5,21,32,0.038239455
5,21,54,0.038239455
5,22,31,0.0253813
5,22,32,0.0253813
5,22,54,0.0253813
5,23,31,0.014607541
5,23,32,0.014607541
5,23,54,0.014607541
5,24,31,0.008064603
5,24,32,0.008064603
5,24,54,0.008064603
2,1,41,0.029479396
2,2,41,0.025048693
2,3,41,0.008163996
2,4,41,0.002062411
2,5,41,0.025150398
2,6,41,0.037355098
2,7,41,0.042730977
2,8,41,0.048745386
2,9,41,0.042440389
2,10,41,0.037398686
2,11,41,0.045924387
2,12,41,0.108198943
2,13,41,0.055624676
2,14,41,0.06053638
2,15,41,0.048918974
2,16,41,0.077687959
2,17,41,0.074251372
2,18,41,0.050248797
2,19,41,0.062451967
2,20,41,0.037476686
2,21,41,0.026638515
2,22,41,0.020615695
2,23,41,0.013359405
2,24,41,0.019490813
5,1,41,0.017170588
5,2,41,0.010036654
5,3,41,0.016964195
5,4,41,0.021701905
5,5,41,0.05690998
5,6,41,0.090298766
5,7,41,0.074270604
5,8,41,0.056190256
5,9,41,0.057454695
5,10,41,0.058729423
5,11,41,0.043060467
5,12,41,0.055575756
5,13,41,0.058593965
5,14,41,0.055482035
5,15,41,0.062652244
5,16,41,0.067228894
5,17,41,0.035031542
5,18,41,0.027747053
5,19,41,0.019964168
5,20,41,0.02643904
5,21,41,0.022490072
5,22,41,0.021673341
5,23,41,0.027538769
5,24,41,0.016795589
2,1,42,0.029479396
2,2,42,0.025048693
2,3,42,0.008163996
2,4,42,0.002062411
2,5,42,0.025150398
2,6,42,0.037355098
2,7,42,0.042730977
2,8,42,0.048745386
2,9,42,0.042440389
2,10,42,0.037398686
2,11,42,0.045924387
2,12,42,0.108198943
2,13,42,0.055624676
2,14,42,0.06053638
2,15,42,0.048918974
2,16,42,0.077687959
2,17,42,0.074251372
2,18,42,0.050248797
2,19,42,0.062451967
2,20,42,0.037476686
2,21,42,0.026638515
2,22,42,0.020615695
2,23,42,0.013359405
2,24,42,0.019490813
5,1,42,0.017170588
5,2,42,0.010036654
5,3,42,0.016964195
5,4,42,0.021701905
5,5,42,0.05690998
5,6,42,0.090298766
5,7,42,0.074270604
5,8,42,0.056190256
5,9,42,0.057454695
5,10,42,0.058729423
5,11,42,0.043060467
5,12,42,0.055575756
5,13,42,0.058593965
5,14,42,0.055482035
5,15,42,0.062652244
5,16,42,0.067228894
5,17,42,0.035031542
5,18,42,0.027747053
5,19,42,0.019964168
5,20,42,0.02643904
5,21,42,0.022490072
5,22,42,0.021673341
5,23,42,0.027538769
5,24,42,0.016795589
2,1,43,7.71991e-4
2,2,43,7.71991e-4
2,3,43,7.71991e-4
2,4,43,7.71991e-4
2,5,43,7.71991e-4
2,6,43,0.008055384
2,7,43,0.130324609
2,8,43,0.225119219
2,9,43,0.081129227
2,10,43,0.005897692
2,11,43,0.008480929
2,12,43,0.02700784
2,13,43,0.077993885
2,14,43,0.13534424
2,15,43,0.143834033
2,16,43,0.14079828
2,17,43,0.006314246
2,18,43,8.20996e-4
2,19,43,0.001159507
2,20,43,7.71991e-4
2,21,43,7.71991e-4
2,22,43,7.71991e-4
2,23,43,7.71991e-4
2,24,43,7.71991e-4
5,1,43,7.71991e-4
5,2,43,7.71991e-4
5,3,43,7.71991e-4
5,4,43,7.71991e-4
5,5,43,7.71991e-4
5,6,43,0.008055384
5,7,43,0.130324609
5,8,43,0.225119219
5,9,43,0.081129227
5,10,43,0.005897692
5,11,43,0.008480929
5,12,43,0.02700784
5,13,43,0.077993885
5,14,43,0.13534424
5,15,43,0.143834033
5,16,43,0.14079828
5,17,43,0.006314246
5,18,43,8.20996e-4
5,19,43,0.001159507
5,20,43,7.71991e-4
5,21,43,7.71991e-4
5,22,43,7.71991e-4
5,23,43,7.71991e-4
5,24,43,7.71991e-4
2,1,51,0.008964744
2,2,51,0.024653047
2,3,51,0.024653047
2,4,51,0.049306094
2,5,51,0.234203948
2,6,51,0.059262133
2,7,51,0.110938712
2,8,51,0.098612189
2,9,51,0.027734678
