monthID,zoneID,hourID,temperature,relHumidity
1,361090,1,18,81
1,361090,2,18,83
1,361090,3,19,83
1,361090,4,19,83
1,361090,5,18,82
1,361090,6,16,81
1,361090,7,18,84
1,361090,8,16,83
1,361090,9,19,83
1,361090,10,20,76
1,361090,11,20,73
1,361090,12,22,69
1,361090,13,23,67
1,361090,14,24,68
1,361090,15,24,67
1,361090,16,22,66
1,361090,17,24,73
1,361090,18,21,75
1,361090,19,19,76
1,361090,20,19,78
1,361090,21,18,77
1,361090,22,19,82
1,361090,23,18,81
1,361090,24,19,83
2,361090,1,24,80
2,361090,2,23,82
2,361090,3,23,81
2,361090,4,23,82
2,361090,5,21,82
2,361090,6,23,79
2,361090,7,21,80
2,361090,8,23,78
2,361090,9,24,77
2,361090,10,26,73
2,361090,11,27,71
2,361090,12,29,66
2,361090,13,30,64
2,361090,14,30,68
2,361090,15,31,64
2,361090,16,31,63
2,361090,17,30,66
2,361090,18,28,71
2,361090,19,27,70
2,361090,20,26,71
2,361090,21,26,71
2,361090,22,24,76
2,361090,23,23,79
2,361090,24,23,78
3,361090,1,32,83
3,361090,2,31,84
3,361090,3,31,87
3,361090,4,31,86
3,361090,5,31,85
3,361090,6,28,83
3,361090,7,29,84
3,361090,8,31,82
3,361090,9,34,78
3,361090,10,36,74
3,361090,11,38,67
3,361090,12,39,63
3,361090,13,42,60
3,361090,14,42,64
3,361090,15,41,64
3,361090,16,43,60
3,361090,17,43,65
3,361090,18,39,66
3,361090,19,39,71
3,361090,20,35,74
3,361090,21,33,78
3,361090,22,33,82
3,361090,23,31,84
3,361090,24,32,85
4,361090,1,40,82
4,361090,2,38,82
4,361090,3,39,82
4,361090,4,39,83
4,361090,5,40,83
4,361090,6,39,83
4,361090,7,41,81
4,361090,8,42,74
4,361090,9,45,70
4,361090,10,48,64
4,361090,11,49,64
4,361090,12,50,59
4,361090,13,50,60
4,361090,14,51,57
4,361090,15,51,55
4,361090,16,52,54
4,361090,17,51,56
4,361090,18,49,59
4,361090,19,46,64
4,361090,20,45,65
4,361090,21,43,73
4,361090,22,42,77
4,361090,23,42,79
4,361090,24,40,79
5,361090,1,53,87
5,361090,2,54,88
5,361090,3,52,88
5,361090,4,51,89
5,361090,5,51,88
5,361090,6,53,85
5,361090,7,57,76
5,361090,8,60,70
5,361090,9,63,65
5,361090,10,65,59
5,361090,11,67,56
5,361090,12,68,59
5,361090,13,69,55
5,361090,14,67,64
5,361090,15,70,55
5,361090,16,69,59
5,361090,17,68,57
5,361090,18,66,61
5,361090,19,64,64
5,361090,20,60,75
5,361090,21,58,79
5,361090,22,56,82
5,361090,23,56,86
5,361090,24,55,87
6,361090,1,60,88
6,361090,2,59,94
6,361090,3,57,94
6,361090,4,56,94
6,361090,5,57,93
6,361090,6,58,90
6,361090,7,62,80
6,361090,8,65,73
6,361090,9,67,66
6,361090,10,68,65
6,361090,11,71,58
6,361090,12,73,54
6,361090,13,74,54
6,361090,14,74,52
6,361090,15,75,52
6,361090,16,75,56
6,361090,17,74,56
6,361090,18,72,58
6,361090,19,69,64
6,361090,20,65,74
6,361090,21,63,81
6,361090,22,61,85
6,361090,23,61,84
6,361090,24,60,88
7,361090,1,64,90
7,361090,2,63,92
7,361090,3,62,93
7,361090,4,61,95
7,361090,5,61,94
7,361090,6,64,92
7,361090,7,67,81
7,361090,8,70,75
7,361090,9,73,69
7,361090,10,76,60
7,361090,11,78,56
7,361090,12,78,56
7,361090,13,79,55
7,361090,14,81,48
7,361090,15,81,49
7,361090,16,81,51
7,361090,17,80,50
7,361090,18,78,56
7,361090,19,75,61
7,361090,20,70,71
7,361090,21,68,79
7,361090,22,66,86
7,361090,23,65,88
7,361090,24,64,91
8,361090,1,64,95
8,361090,2,62,96
8,361090,3,62,96
8,361090,4,61,95
8,361090,5,61,95
8,361090,6,62,95
8,361090,7,66,90
8,361090,8,69,83
8,361090,9,72,75
8,361090,10,75,67
8,361090,11,77,63
8,361090,12,78,58
8,361090,13,78,59
8,361090,14,79,58
8,361090,15,78,61
8,361090,16,76,66
8,361090,17,76,64
8,361090,18,75,66
8,361090,19,71,74
8,361090,20,68,82
8,361090,21,67,83
8,361090,22,65,89
8,361090,23,64,90
8,361090,24,64,91
9,361090,1,55,93
9,361090,2,58,94
9,361090,3,57,93
9,361090,4,56,95
9,361090,5,56,94
9,361090,6,55,93
9,361090,7,55,92
9,361090,8,59,89
9,361090,9,61,83
9,361090,10,64,78
9,361090,11,65,77
9,361090,12,66,72
9,361090,13,67,71
9,361090,14,67,71
9,361090,15,67,73
9,361090,16,67,73
9,361090,17,66,76
9,361090,18,63,82
9,361090,19,60,88
9,361090,20,60,89
9,361090,21,59,93
9,361090,22,59,93
9,361090,23,57,93
9,361090,24,55,94
10,361090,1,44,84
10,361090,2,46,86
10,361090,3,44,87
10,361090,4,44,86
10,361090,5,44,85
10,361090,6,43,87
10,361090,7,43,87
10,361090,8,47,81
10,361090,9,50,74
10,361090,10,53,66
10,361090,11,56,61
10,361090,12,58,57
10,361090,13,58,54
10,361090,14,59,54
10,361090,15,60,52
10,361090,16,59,54
10,361090,17,56,61
10,361090,18,52,69
10,361090,19,51,72
10,361090,20,49,74
10,361090,21,48,78
10,361090,22,48,82
10,361090,23,46,83
10,361090,24,46,83
11,361090,1,41,83
11,361090,2,41,84
11,361090,3,41,82
11,361090,4,38,82
11,361090,5,39,85
11,361090,6,38,82
11,361090,7,37,84
11,361090,8,40,84
11,361090,9,42,76
11,361090,10,45,71
11,361090,11,45,69
11,361090,12,47,65
11,361090,13,48,63
11,361090,14,49,60
11,361090,15,48,58
11,361090,16,46,61
11,361090,17,44,65
11,361090,18,42,70
11,361090,19,42,70
11,361090,20,41,73
11,361090,21,41,75
11,361090,22,41,83
11,361090,23,40,80
11,361090,24,41,82
12,361090,1,27,81
12,361090,2,27,83
12,361090,3,28,83
12,361090,4,29,85
12,361090,5,28,85
12,361090,6,28,84
12,361090,7,28,82
12,361090,8,28,84
12,361090,9,29,83
12,361090,10,32,80
12,361090,11,33,78
12,361090,12,34,74
12,361090,13,34,71
12,361090,14,34,72
12,361090,15,35,71
12,361090,16,34,75
12,361090,17,31,76
12,361090,18,31,79
12,361090,19,30,77
12,361090,20,30,79
12,361090,21,30,79
12,361090,22,30,82
12,361090,23,31,82
12,361090,24,29,82
