year,geoid,pollutant,sourcetype,regclass,fueltype,roadtype,emissions,vmt,sourcehours,vehicles,starts,idlehours,hoteld,hotelb,hotelo,by
2022,36109,1,11,10,1,1,0.14111678302288055,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,11,10,1,2,0,0,0,2175,145826,NA,NA,NA,NA,1
2022,36109,1,11,10,1,3,1.2421283721923828,1496500,30706.400390625,2175,145826,NA,NA,NA,NA,1
2022,36109,1,11,10,1,4,0.0964900404214859,122652,2070.5,2175,145826,NA,NA,NA,NA,1
2022,36109,1,11,10,1,5,0.9816599488258362,799891,37240.5,2175,145826,NA,NA,NA,NA,1
2022,36109,1,21,20,1,1,19.02568626403809,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,21,20,1,2,0,0,0,19064.099609375,24522100,NA,NA,NA,NA,1
2022,36109,1,21,20,1,3,5.805536270141602,97024800,1990830,19064.099609375,24522100,NA,NA,NA,NA,1
2022,36109,1,21,20,1,4,0.6990728378295898,13263700,223906,19064.099609375,24522100,NA,NA,NA,NA,1
2022,36109,1,21,20,1,5,6.78892183303833,70071696,3262330,19064.099609375,24522100,NA,NA,NA,NA,1
2022,36109,1,21,20,2,1,0.17311830818653107,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,21,20,2,2,0,0,0,107.31700134277344,106390,NA,NA,NA,NA,1
2022,36109,1,21,20,2,3,0.07563060522079468,420945,8637.2900390625,107.31700134277344,106390,NA,NA,NA,NA,1
2022,36109,1,21,20,2,4,0.00912091694772243,57544.8984375,971.4199829101564,107.31700134277344,106390,NA,NA,NA,NA,1
2022,36109,1,21,20,2,5,0.08960890024900436,304008,14153.7001953125,107.31700134277344,106390,NA,NA,NA,NA,1
2022,36109,1,21,20,5,1,7.954141619848087e-5,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,21,20,5,2,0,0,0,0.11513900011777878,163.37399291992188,NA,NA,NA,NA,1
2022,36109,1,21,20,5,3,1.0065203241538256e-5,646.40899658203125,13.263500213623049,0.11513900011777878,163.37399291992188,NA,NA,NA,NA,1
2022,36109,1,21,20,5,4,1.2637625559364096e-6,88.36669921875,1.491729974746704,0.11513900011777878,163.37399291992188,NA,NA,NA,NA,1
2022,36109,1,21,20,5,5,1.047286878019804e-5,466.8389892578125,21.734600067138672,0.11513900011777878,163.37399291992188,NA,NA,NA,NA,1
2022,36109,1,21,20,9,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,21,20,9,2,0,0,0,118.50399780273438,195462,NA,NA,NA,NA,1
2022,36109,1,21,20,9,3,0,773369,15868.599609375,118.50399780273438,195462,NA,NA,NA,NA,1
2022,36109,1,21,20,9,4,0,105723,1784.7099609375,118.50399780273438,195462,NA,NA,NA,NA,1
2022,36109,1,21,20,9,5,0,558530,26003.5,118.50399780273438,195462,NA,NA,NA,NA,1
2022,36109,1,31,30,1,1,30.793262481689453,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,31,30,1,2,0,0,0,34137.5,46711300,NA,NA,NA,NA,1
2022,36109,1,31,30,1,3,9.511072158813477,215327008,4418260,34137.5,46711300,NA,NA,NA,NA,1
2022,36109,1,31,30,1,4,1.1776524782180786,29436100,496913,34137.5,46711300,NA,NA,NA,NA,1
2022,36109,1,31,30,1,5,10.712691307067873,155510000,7240080,34137.5,46711300,NA,NA,NA,NA,1
2022,36109,1,31,30,2,1,0.5760757923126221,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,31,30,2,2,0,0,0,228.11599731445313,237701,NA,NA,NA,NA,1
2022,36109,1,31,30,2,3,0.5123595595359802,1095740,22483.30078125,228.11599731445313,237701,NA,NA,NA,NA,1
2022,36109,1,31,30,2,4,0.06213167309761047,149793,2528.659912109375,228.11599731445313,237701,NA,NA,NA,NA,1
2022,36109,1,31,30,2,5,0.6176738142967224,791351,36842.8984375,228.11599731445313,237701,NA,NA,NA,NA,1
2022,36109,1,31,30,5,1,6.368550821207464e-4,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,31,30,5,2,0,0,0,0.9795339703559875,1412,NA,NA,NA,NA,1
2022,36109,1,31,30,5,3,9.598756150808184e-5,6508.990234375,133.5570068359375,0.9795339703559875,1412,NA,NA,NA,NA,1
2022,36109,1,31,30,5,4,1.2385215995891484e-5,889.8070068359375,15.020899772644045,0.9795339703559875,1412,NA,NA,NA,NA,1
2022,36109,1,31,30,5,5,9.520843741483986e-5,4700.830078125,218.8560028076172,0.9795339703559875,1412,NA,NA,NA,NA,1
2022,36109,1,31,30,9,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,31,30,9,2,0,0,0,62.99580001831055,103337,NA,NA,NA,NA,1
2022,36109,1,31,30,9,3,0,476358,9774.2900390625,62.99580001831055,103337,NA,NA,NA,NA,1
2022,36109,1,31,30,9,4,0,65120.1015625,1099.2900390625,62.99580001831055,103337,NA,NA,NA,NA,1
2022,36109,1,31,30,9,5,0,344028,16016.900390625,62.99580001831055,103337,NA,NA,NA,NA,1
2022,36109,1,31,41,1,1,1.544585108757019,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,31,41,1,2,0,0,0,623.666015625,739870,NA,NA,NA,NA,1
2022,36109,1,31,41,1,3,0.5973623991012573,3410620,69981.703125,623.666015625,739870,NA,NA,NA,NA,1
2022,36109,1,31,41,1,4,0.05880478024482727,466245,7870.72021484375,623.666015625,739870,NA,NA,NA,NA,1
2022,36109,1,31,41,1,5,1.0620025396347046,2463160,114677,623.666015625,739870,NA,NA,NA,NA,1
2022,36109,1,31,41,2,1,0.5883838534355164,NA,NA,NA,NA,NA,NA,NA,NA,1
2022,36109,1,31,41,2,2,0,0,0,601.76397705078125,716869,NA,NA,NA,NA,1
2022,36109,1,31,41,2,3,0.7362645864486694,3304580,67806.1015625,601.76397705078125,716869,NA,NA,NA,NA,1
2022,36109,1,31,41,2,4,0.08894702792167664,451750,7626.02978515625,601.76397705078125,716869,NA,NA,NA,NA,1
2022,36109,1,31,41,2,5,0.9585119485855104,2386580,111112,601.76397705078125,716869,NA,NA,NA,NA,1
